"图解标题：20939319"
"#","日期 时间, GMT+08:00","温度, °C (LGR S/N: 20939319, SEN S/N: 20939319)","RH, % (LGR S/N: 20939319, SEN S/N: 20939319)","已连接主机 (LGR S/N: 20939319)","文件结尾 (LGR S/N: 20939319)"
44,08/30/21 下午07时20分57秒,26.432,56.461,,
45,08/30/21 下午07时21分57秒,26.407,56.467,,
46,08/30/21 下午07时22分57秒,26.407,56.641,,
47,08/30/21 下午07时23分57秒,26.407,56.627,,
48,08/30/21 下午07时24分57秒,26.407,56.540,,
49,08/30/21 下午07时25分57秒,26.383,56.676,,
50,08/30/21 下午07时26分57秒,26.383,56.676,,
51,08/30/21 下午07时27分57秒,26.359,56.595,,
52,08/30/21 下午07时28分57秒,26.359,56.948,,
53,08/30/21 下午07时29分57秒,26.359,58.028,,
54,08/30/21 下午07时30分57秒,26.383,59.141,,
55,08/30/21 下午07时31分57秒,26.407,60.163,,
56,08/30/21 下午07时32分57秒,26.432,61.087,,
57,08/30/21 下午07时33分57秒,26.432,61.618,,
58,08/30/21 下午07时34分57秒,26.456,62.210,,
59,08/30/21 下午07时35分57秒,26.481,62.580,,
60,08/30/21 下午07时36分57秒,26.481,62.829,,
61,08/30/21 下午07时37分57秒,26.505,63.266,,
62,08/30/21 下午07时38分57秒,26.530,63.596,,
63,08/30/21 下午07时39分57秒,26.554,63.786,,
64,08/30/21 下午07时40分57秒,26.554,64.009,,
65,08/30/21 下午07时41分57秒,26.579,64.080,,
66,08/30/21 下午07时42分57秒,26.579,64.206,,
67,08/30/21 下午07时43分57秒,26.579,64.282,,
68,08/30/21 下午07时44分57秒,26.603,64.380,,
69,08/30/21 下午07时45分57秒,26.603,64.614,,
70,08/30/21 下午07时46分57秒,26.628,64.583,,
71,08/30/21 下午07时47分57秒,26.603,63.293,,
72,08/30/21 下午07时48分57秒,26.579,61.882,,
73,08/30/21 下午07时49分57秒,26.579,60.856,,
74,08/30/21 下午07时50分57秒,26.554,60.186,,
75,08/30/21 下午07时51分57秒,26.530,59.693,,
76,08/30/21 下午07时52分57秒,26.505,59.412,,
77,08/30/21 下午07时53分57秒,26.505,59.183,,
78,08/30/21 下午07时54分57秒,26.481,59.049,,
79,08/30/21 下午07时55分57秒,26.481,58.911,,
80,08/30/21 下午07时56分57秒,26.456,58.951,,
81,08/30/21 下午07时57分57秒,26.456,58.917,,
82,08/30/21 下午07时58分57秒,26.432,58.719,,
83,08/30/21 下午07时59分29秒,,,已记录,
84,08/30/21 下午07时59分57秒,26.383,57.690,,
85,08/30/21 下午08时00分57秒,26.261,57.181,,
86,08/30/21 下午08时01分57秒,26.188,57.123,,
87,08/30/21 下午08时02分57秒,26.188,57.274,,
88,08/30/21 下午08时03分57秒,26.163,57.310,,
89,08/30/21 下午08时04分57秒,26.188,57.168,,
90,08/30/21 下午08时05分57秒,26.188,57.123,,
91,08/30/21 下午08时06分57秒,26.163,56.891,,
92,08/30/21 下午08时07分57秒,26.188,56.636,,
93,08/30/21 下午08时08分57秒,26.188,56.492,,
94,08/30/21 下午08时09分57秒,26.188,56.406,,
95,08/30/21 下午08时10分57秒,26.163,56.228,,
96,08/30/21 下午08时11分57秒,26.163,56.115,,
97,08/30/21 下午08时12分57秒,26.139,56.010,,
98,08/30/21 下午08时13分57秒,26.139,55.844,,
99,08/30/21 下午08时14分57秒,26.188,56.179,,
100,08/30/21 下午08时15分57秒,26.237,55.710,,
101,08/30/21 下午08时16分57秒,26.188,55.600,,
102,08/30/21 下午08时17分57秒,26.139,55.639,,
103,08/30/21 下午08时18分57秒,26.066,55.766,,
104,08/30/21 下午08时19分57秒,26.090,56.387,,
105,08/30/21 下午08时20分57秒,26.115,56.282,,
106,08/30/21 下午08时21分57秒,26.285,60.959,,
107,08/30/21 下午08时22分57秒,26.579,57.090,,
108,08/30/21 下午08时23分57秒,26.774,56.235,,
109,08/30/21 下午08时24分57秒,26.848,57.533,,
110,08/30/21 下午08时25分57秒,26.872,58.584,,
111,08/30/21 下午08时26分57秒,26.872,58.702,,
112,08/30/21 下午08时27分57秒,26.774,56.220,,
113,08/30/21 下午08时28分57秒,26.530,53.799,,
114,08/30/21 下午08时29分57秒,26.212,52.837,,
115,08/30/21 下午08时30分57秒,25.944,52.862,,
116,08/30/21 下午08时31分57秒,25.725,53.022,,
117,08/30/21 下午08时32分57秒,25.531,53.324,,
118,08/30/21 下午08时33分40秒,,,已记录,
119,08/30/21 下午08时33分57秒,25.482,54.348,,
120,08/30/21 下午08时34分57秒,25.506,53.930,,
121,08/30/21 下午08时35分57秒,25.531,53.876,,
122,08/30/21 下午08时36分57秒,25.531,53.733,,
123,08/30/21 下午08时37分57秒,25.579,53.697,,
124,08/30/21 下午08时38分57秒,25.603,53.857,,
125,08/30/21 下午08时39分57秒,25.652,53.690,,
126,08/30/21 下午08时40分57秒,25.701,53.559,,
127,08/30/21 下午08时41分57秒,25.749,53.348,,
128,08/30/21 下午08时42分57秒,25.774,53.226,,
129,08/30/21 下午08时43分57秒,25.798,53.255,,
130,08/30/21 下午08时44分57秒,25.822,53.030,,
131,08/30/21 下午08时45分57秒,25.871,52.836,,
132,08/30/21 下午08时46分57秒,25.871,52.590,,
133,08/30/21 下午08时47分57秒,25.895,52.308,,
134,08/30/21 下午08时48分57秒,25.920,52.192,,
135,08/30/21 下午08时49分57秒,25.920,51.965,,
136,08/30/21 下午08时50分57秒,25.944,51.873,,
137,08/30/21 下午08时51分57秒,25.968,51.824,,
138,08/30/21 下午08时52分57秒,26.042,51.530,,
139,08/30/21 下午08时53分57秒,26.090,51.246,,
140,08/30/21 下午08时54分57秒,26.115,51.126,,
141,08/30/21 下午08时55分57秒,26.163,50.929,,
142,08/30/21 下午08时56分57秒,26.163,50.676,,
143,08/30/21 下午08时57分57秒,26.188,50.629,,
144,08/30/21 下午08时58分57秒,26.212,50.334,,
145,08/30/21 下午08时59分57秒,26.212,50.226,,
146,08/30/21 下午09时00分57秒,26.212,50.285,,
147,08/30/21 下午09时01分57秒,26.237,50.367,,
148,08/30/21 下午09时02分57秒,26.237,50.417,,
149,08/30/21 下午09时03分57秒,26.237,50.288,,
150,08/30/21 下午09时04分57秒,26.212,50.089,,
151,08/30/21 下午09时05分57秒,26.237,50.180,,
152,08/30/21 下午09时06分57秒,26.237,50.210,,
153,08/30/21 下午09时07分57秒,26.237,50.200,,
154,08/30/21 下午09时08分57秒,26.261,50.549,,
155,08/30/21 下午09时09分57秒,26.261,50.710,,
156,08/30/21 下午09时10分57秒,26.285,50.754,,
157,08/30/21 下午09时11分57秒,26.310,50.717,,
158,08/30/21 下午09时12分57秒,26.310,50.727,,
159,08/30/21 下午09时13分57秒,26.285,50.643,,
160,08/30/21 下午09时14分57秒,26.285,50.543,,
161,08/30/21 下午09时15分57秒,26.285,50.473,,
162,08/30/21 下午09时16分57秒,26.310,50.427,,
163,08/30/21 下午09时17分57秒,26.310,50.437,,
164,08/30/21 下午09时18分57秒,26.334,50.460,,
165,08/30/21 下午09时19分57秒,26.334,50.410,,
166,08/30/21 下午09时20分57秒,26.359,50.423,,
167,08/30/21 下午09时21分57秒,26.359,50.414,,
168,08/30/21 下午09时22分57秒,26.359,50.334,,
169,08/30/21 下午09时23分57秒,26.359,50.423,,
170,08/30/21 下午09时24分57秒,26.359,50.344,,
171,08/30/21 下午09时25分57秒,26.359,50.324,,
172,08/30/21 下午09时26分57秒,26.383,50.377,,
173,08/30/21 下午09时27分57秒,26.383,50.516,,
174,08/30/21 下午09时28分57秒,26.383,50.497,,
175,08/30/21 下午09时29分57秒,26.383,50.347,,
176,08/30/21 下午09时30分57秒,26.383,50.337,,
177,08/30/21 下午09时31分57秒,26.383,50.467,,
178,08/30/21 下午09时32分57秒,26.383,50.427,,
179,08/30/21 下午09时33分57秒,26.383,50.417,,
180,08/30/21 下午09时34分57秒,26.383,50.387,,
181,08/30/21 下午09时35分57秒,26.383,50.397,,
182,08/30/21 下午09时36分57秒,26.383,50.347,,
183,08/30/21 下午09时37分57秒,26.383,50.347,,
184,08/30/21 下午09时38分57秒,26.383,50.387,,
185,08/30/21 下午09时39分57秒,26.383,50.318,,
186,08/30/21 下午09时40分57秒,26.383,50.318,,
187,08/30/21 下午09时41分57秒,26.359,50.354,,
188,08/30/21 下午09时42分57秒,26.359,50.513,,
189,08/30/21 下午09时43分57秒,26.359,50.453,,
190,08/30/21 下午09时44分57秒,26.334,50.450,,
191,08/30/21 下午09时45分57秒,26.310,50.338,,
192,08/30/21 下午09时46分57秒,26.285,50.001,,
193,08/30/21 下午09时47分57秒,26.261,50.115,,
194,08/30/21 下午09时48分57秒,26.237,50.229,,
195,08/30/21 下午09时49分57秒,26.212,50.384,,
196,08/30/21 下午09时50分57秒,26.237,50.417,,
197,08/30/21 下午09时51分57秒,26.334,50.710,,
198,08/30/21 下午09时52分57秒,26.359,50.958,,
199,08/30/21 下午09时53分57秒,26.359,51.226,,
200,08/30/21 下午09时54分57秒,26.383,51.724,,
201,08/30/21 下午09时55分57秒,26.383,52.113,,
202,08/30/21 下午09时56分57秒,26.383,52.600,,
203,08/30/21 下午09时57分57秒,26.383,53.010,,
204,08/30/21 下午09时58分57秒,26.383,53.336,,
205,08/30/21 下午09时59分57秒,26.383,53.704,,
206,08/30/21 下午10时00分57秒,26.383,53.946,,
207,08/30/21 下午10时01分57秒,26.383,54.167,,
208,08/30/21 下午10时02分57秒,26.383,54.342,,
209,08/30/21 下午10时03分57秒,26.383,54.455,,
210,08/30/21 下午10时04分57秒,26.383,54.556,,
211,08/30/21 下午10时05分57秒,26.383,54.671,,
212,08/30/21 下午10时06分57秒,26.383,54.735,,
213,08/30/21 下午10时07分57秒,26.407,54.793,,
214,08/30/21 下午10时08分57秒,26.383,54.863,,
215,08/30/21 下午10时09分57秒,26.407,54.922,,
216,08/30/21 下午10时10分57秒,26.407,54.974,,
217,08/30/21 下午10时11分57秒,26.407,55.066,,
218,08/30/21 下午10时12分57秒,26.407,55.132,,
219,08/30/21 下午10时13分57秒,26.407,55.211,,
220,08/30/21 下午10时14分57秒,26.407,55.277,,
221,08/30/21 下午10时15分57秒,26.407,55.330,,
222,08/30/21 下午10时16分57秒,26.407,55.371,,
223,08/30/21 下午10时17分57秒,26.407,55.411,,
224,08/30/21 下午10时18分57秒,26.407,55.424,,
225,08/30/21 下午10时19分57秒,26.407,55.451,,
226,08/30/21 下午10时20分57秒,26.407,55.451,,
227,08/30/21 下午10时21分57秒,26.432,55.459,,
228,08/30/21 下午10时22分57秒,26.432,55.459,,
229,08/30/21 下午10时23分57秒,26.432,55.485,,
230,08/30/21 下午10时24分57秒,26.432,55.526,,
231,08/30/21 下午10时25分57秒,26.432,55.540,,
232,08/30/21 下午10时26分57秒,26.432,55.540,,
233,08/30/21 下午10时27分57秒,26.432,55.567,,
234,08/30/21 下午10时28分57秒,26.432,55.567,,
235,08/30/21 下午10时29分57秒,26.432,55.594,,
236,08/30/21 下午10时30分57秒,26.432,55.594,,
237,08/30/21 下午10时31分57秒,26.432,55.594,,
238,08/30/21 下午10时32分57秒,26.456,55.588,,
239,08/30/21 下午10时33分57秒,26.456,55.615,,
240,08/30/21 下午10时34分57秒,26.456,55.629,,
241,08/30/21 下午10时35分57秒,26.456,55.656,,
242,08/30/21 下午10时36分57秒,26.456,55.697,,
243,08/30/21 下午10时37分57秒,26.456,55.724,,
244,08/30/21 下午10时38分57秒,26.456,55.752,,
245,08/30/21 下午10时39分57秒,26.456,55.752,,
246,08/30/21 下午10时40分57秒,26.456,55.779,,
247,08/30/21 下午10时41分57秒,26.456,55.821,,
248,08/30/21 下午10时42分57秒,26.456,55.835,,
249,08/30/21 下午10时43分57秒,26.456,55.876,,
250,08/30/21 下午10时44分57秒,26.456,55.876,,
251,08/30/21 下午10时45分57秒,26.456,55.890,,
252,08/30/21 下午10时46分57秒,26.481,55.912,,
253,08/30/21 下午10时47分57秒,26.456,55.959,,
254,08/30/21 下午10时48分57秒,26.481,55.967,,
255,08/30/21 下午10时49分57秒,26.481,56.009,,
256,08/30/21 下午10时50分57秒,26.481,56.023,,
257,08/30/21 下午10时51分57秒,26.481,56.037,,
258,08/30/21 下午10时52分57秒,26.481,56.065,,
259,08/30/21 下午10时53分57秒,26.481,56.108,,
260,08/30/21 下午10时54分57秒,26.481,56.136,,
261,08/30/21 下午10时55分57秒,26.481,56.192,,
262,08/30/21 下午10时56分57秒,26.481,56.235,,
263,08/30/21 下午10时57分57秒,26.481,56.278,,
264,08/30/21 下午10时58分57秒,26.481,56.349,,
265,08/30/21 下午10时59分57秒,26.481,56.392,,
266,08/30/21 下午11时00分57秒,26.505,56.415,,
267,08/30/21 下午11时01分57秒,26.505,56.415,,
268,08/30/21 下午11时02分57秒,26.505,56.429,,
269,08/30/21 下午11时03分57秒,26.505,56.429,,
270,08/30/21 下午11时04分57秒,26.505,56.415,,
271,08/30/21 下午11时05分57秒,26.505,56.429,,
272,08/30/21 下午11时06分57秒,26.505,56.458,,
273,08/30/21 下午11时07分57秒,26.505,56.516,,
274,08/30/21 下午11时08分57秒,26.505,56.516,,
275,08/30/21 下午11时09分57秒,26.505,56.545,,
276,08/30/21 下午11时10分57秒,26.505,56.559,,
277,08/30/21 下午11时11分57秒,26.505,56.588,,
278,08/30/21 下午11时12分57秒,26.505,56.588,,
279,08/30/21 下午11时13分57秒,26.505,56.588,,
280,08/30/21 下午11时14分57秒,26.505,56.603,,
281,08/30/21 下午11时15分57秒,26.530,56.612,,
282,08/30/21 下午11时16分57秒,26.530,56.641,,
283,08/30/21 下午11时17分57秒,26.530,56.656,,
284,08/30/21 下午11时18分57秒,26.530,56.670,,
285,08/30/21 下午11时19分57秒,26.530,56.641,,
286,08/30/21 下午11时20分57秒,26.530,56.641,,
287,08/30/21 下午11时21分57秒,26.530,56.685,,
288,08/30/21 下午11时22分57秒,26.530,56.729,,
289,08/30/21 下午11时23分57秒,26.530,56.729,,
290,08/30/21 下午11时24分57秒,26.530,56.773,,
291,08/30/21 下午11时25分57秒,26.530,56.817,,
292,08/30/21 下午11时26分57秒,26.530,56.862,,
293,08/30/21 下午11时27分57秒,26.530,56.892,,
294,08/30/21 下午11时28分57秒,26.530,56.892,,
295,08/30/21 下午11时29分57秒,26.530,56.966,,
296,08/30/21 下午11时30分57秒,26.530,56.981,,
297,08/30/21 下午11时31分57秒,26.554,57.005,,
298,08/30/21 下午11时32分57秒,26.530,56.981,,
299,08/30/21 下午11时33分57秒,26.530,56.996,,
300,08/30/21 下午11时34分57秒,26.554,57.005,,
301,08/30/21 下午11时35分57秒,26.554,57.020,,
302,08/30/21 下午11时36分57秒,26.554,57.035,,
303,08/30/21 下午11时37分57秒,26.554,57.065,,
304,08/30/21 下午11时38分57秒,26.554,57.095,,
305,08/30/21 下午11时39分57秒,26.554,57.126,,
306,08/30/21 下午11时40分57秒,26.554,57.141,,
307,08/30/21 下午11时41分57秒,26.554,57.141,,
308,08/30/21 下午11时42分57秒,26.554,57.141,,
309,08/30/21 下午11时43分57秒,26.554,57.156,,
310,08/30/21 下午11时44分57秒,26.554,57.126,,
311,08/30/21 下午11时45分57秒,26.554,57.141,,
312,08/30/21 下午11时46分57秒,26.554,57.171,,
313,08/30/21 下午11时47分57秒,26.554,57.171,,
314,08/30/21 下午11时48分57秒,26.554,57.186,,
315,08/30/21 下午11时49分57秒,26.554,57.186,,
316,08/30/21 下午11时50分57秒,26.554,57.217,,
317,08/30/21 下午11时51分57秒,26.554,57.247,,
318,08/30/21 下午11时52分57秒,26.554,57.262,,
319,08/30/21 下午11时53分57秒,26.554,57.262,,
320,08/30/21 下午11时54分57秒,26.554,57.293,,
321,08/30/21 下午11时55分57秒,26.554,57.308,,
322,08/30/21 下午11时56分57秒,26.554,57.339,,
323,08/30/21 下午11时57分57秒,26.579,57.349,,
324,08/30/21 下午11时58分57秒,26.554,57.370,,
325,08/30/21 下午11时59分57秒,26.579,57.364,,
326,08/31/21 上午12时00分57秒,26.579,57.364,,
327,08/31/21 上午12时01分57秒,26.554,57.370,,
328,08/31/21 上午12时02分57秒,26.579,57.364,,
329,08/31/21 上午12时03分57秒,26.579,57.379,,
330,08/31/21 上午12时04分57秒,26.579,57.426,,
331,08/31/21 上午12时05分57秒,26.579,57.441,,
332,08/31/21 上午12时06分57秒,26.579,57.472,,
333,08/31/21 上午12时07分57秒,26.579,57.472,,
334,08/31/21 上午12时08分57秒,26.579,57.472,,
335,08/31/21 上午12时09分57秒,26.579,57.503,,
336,08/31/21 上午12时10分57秒,26.579,57.503,,
337,08/31/21 上午12时11分57秒,26.579,57.519,,
338,08/31/21 上午12时12分57秒,26.579,57.503,,
339,08/31/21 上午12时13分57秒,26.579,57.519,,
340,08/31/21 上午12时14分57秒,26.579,57.534,,
341,08/31/21 上午12时15分57秒,26.579,57.534,,
342,08/31/21 上午12时16分57秒,26.579,57.534,,
343,08/31/21 上午12时17分57秒,26.579,57.550,,
344,08/31/21 上午12时18分57秒,26.579,57.565,,
345,08/31/21 上午12时19分57秒,26.579,57.550,,
346,08/31/21 上午12时20分57秒,26.579,57.581,,
347,08/31/21 上午12时21分57秒,26.579,57.612,,
348,08/31/21 上午12时22分57秒,26.579,57.612,,
349,08/31/21 上午12时23分57秒,26.579,57.628,,
350,08/31/21 上午12时24分57秒,26.579,57.659,,
351,08/31/21 上午12时25分57秒,26.579,57.659,,
352,08/31/21 上午12时26分57秒,26.579,57.644,,
353,08/31/21 上午12时27分57秒,26.603,57.653,,
354,08/31/21 上午12时28分57秒,26.603,57.669,,
355,08/31/21 上午12时29分57秒,26.603,57.685,,
356,08/31/21 上午12时30分57秒,26.603,57.716,,
357,08/31/21 上午12时31分57秒,26.579,57.722,,
358,08/31/21 上午12时32分57秒,26.579,57.722,,
359,08/31/21 上午12时33分57秒,26.603,57.716,,
360,08/31/21 上午12时34分57秒,26.603,57.701,,
361,08/31/21 上午12时35分57秒,26.579,57.722,,
362,08/31/21 上午12时36分57秒,26.603,57.748,,
363,08/31/21 上午12时37分57秒,26.603,57.764,,
364,08/31/21 上午12时38分57秒,26.603,57.780,,
365,08/31/21 上午12时39分57秒,26.603,57.780,,
366,08/31/21 上午12时40分57秒,26.603,57.796,,
367,08/31/21 上午12时41分57秒,26.603,57.796,,
368,08/31/21 上午12时42分57秒,26.603,57.843,,
369,08/31/21 上午12时43分57秒,26.603,57.875,,
370,08/31/21 上午12时44分57秒,26.603,57.891,,
371,08/31/21 上午12时45分57秒,26.603,57.891,,
372,08/31/21 上午12时46分57秒,26.603,57.907,,
373,08/31/21 上午12时47分57秒,26.603,57.923,,
374,08/31/21 上午12时48分57秒,26.603,57.939,,
375,08/31/21 上午12时49分57秒,26.603,57.923,,
376,08/31/21 上午12时50分57秒,26.603,57.939,,
377,08/31/21 上午12时51分57秒,26.603,57.939,,
378,08/31/21 上午12时52分57秒,26.603,57.971,,
379,08/31/21 上午12时53分57秒,26.603,57.971,,
380,08/31/21 上午12时54分57秒,26.603,57.971,,
381,08/31/21 上午12时55分57秒,26.603,57.987,,
382,08/31/21 上午12时56分57秒,26.603,57.971,,
383,08/31/21 上午12时57分57秒,26.603,58.003,,
384,08/31/21 上午12时58分57秒,26.603,58.019,,
385,08/31/21 上午12时59分57秒,26.603,58.019,,
386,08/31/21 上午01时00分57秒,26.603,58.036,,
387,08/31/21 上午01时01分57秒,26.628,58.030,,
388,08/31/21 上午01时02分57秒,26.628,58.046,,
389,08/31/21 上午01时03分57秒,26.628,58.046,,
390,08/31/21 上午01时04分57秒,26.628,58.062,,
391,08/31/21 上午01时05分57秒,26.628,58.078,,
392,08/31/21 上午01时06分57秒,26.628,58.111,,
393,08/31/21 上午01时07分57秒,26.628,58.127,,
394,08/31/21 上午01时08分57秒,26.628,58.127,,
395,08/31/21 上午01时09分57秒,26.628,58.111,,
396,08/31/21 上午01时10分57秒,26.628,58.127,,
397,08/31/21 上午01时11分57秒,26.628,58.143,,
398,08/31/21 上午01时12分57秒,26.628,58.143,,
399,08/31/21 上午01时13分57秒,26.628,58.160,,
400,08/31/21 上午01时14分57秒,26.628,58.176,,
401,08/31/21 上午01时15分57秒,26.628,58.208,,
402,08/31/21 上午01时16分57秒,26.628,58.208,,
403,08/31/21 上午01时17分57秒,26.628,58.208,,
404,08/31/21 上午01时18分57秒,26.628,58.208,,
405,08/31/21 上午01时19分57秒,26.628,58.208,,
406,08/31/21 上午01时20分57秒,26.628,58.208,,
407,08/31/21 上午01时21分57秒,26.628,58.225,,
408,08/31/21 上午01时22分57秒,26.628,58.208,,
409,08/31/21 上午01时23分57秒,26.628,58.225,,
410,08/31/21 上午01时24分57秒,26.628,58.241,,
411,08/31/21 上午01时25分57秒,26.628,58.258,,
412,08/31/21 上午01时26分57秒,26.628,58.274,,
413,08/31/21 上午01时27分57秒,26.628,58.274,,
414,08/31/21 上午01时28分57秒,26.628,58.258,,
415,08/31/21 上午01时29分57秒,26.628,58.258,,
416,08/31/21 上午01时30分57秒,26.628,58.258,,
417,08/31/21 上午01时31分57秒,26.628,58.274,,
418,08/31/21 上午01时32分57秒,26.628,58.290,,
419,08/31/21 上午01时33分57秒,26.628,58.307,,
420,08/31/21 上午01时34分57秒,26.628,58.356,,
421,08/31/21 上午01时35分57秒,26.628,58.356,,
422,08/31/21 上午01时36分57秒,26.652,58.384,,
423,08/31/21 上午01时37分57秒,26.628,58.373,,
424,08/31/21 上午01时38分57秒,26.628,58.373,,
425,08/31/21 上午01时39分57秒,26.628,58.373,,
426,08/31/21 上午01时40分57秒,26.628,58.406,,
427,08/31/21 上午01时41分57秒,26.628,58.406,,
428,08/31/21 上午01时42分57秒,26.628,58.389,,
429,08/31/21 上午01时43分57秒,26.628,58.389,,
430,08/31/21 上午01时44分57秒,26.628,58.389,,
431,08/31/21 上午01时45分57秒,26.652,58.384,,
432,08/31/21 上午01时46分57秒,26.652,58.367,,
433,08/31/21 上午01时47分57秒,26.652,58.400,,
434,08/31/21 上午01时48分57秒,26.652,58.417,,
435,08/31/21 上午01时49分57秒,26.652,58.433,,
436,08/31/21 上午01时50分57秒,26.652,58.400,,
437,08/31/21 上午01时51分57秒,26.652,58.400,,
438,08/31/21 上午01时52分57秒,26.652,58.417,,
439,08/31/21 上午01时53分57秒,26.652,58.433,,
440,08/31/21 上午01时54分57秒,26.628,58.439,,
441,08/31/21 上午01时55分57秒,26.652,58.433,,
442,08/31/21 上午01时56分57秒,26.652,58.450,,
443,08/31/21 上午01时57分57秒,26.652,58.483,,
444,08/31/21 上午01时58分57秒,26.652,58.483,,
445,08/31/21 上午01时59分57秒,26.652,58.500,,
446,08/31/21 上午02时00分57秒,26.652,58.500,,
447,08/31/21 上午02时01分57秒,26.652,58.500,,
448,08/31/21 上午02时02分57秒,26.652,58.500,,
449,08/31/21 上午02时03分57秒,26.652,58.517,,
450,08/31/21 上午02时04分57秒,26.652,58.533,,
451,08/31/21 上午02时05分57秒,26.652,58.533,,
452,08/31/21 上午02时06分57秒,26.652,58.517,,
453,08/31/21 上午02时07分57秒,26.652,58.517,,
454,08/31/21 上午02时08分57秒,26.652,58.550,,
455,08/31/21 上午02时09分57秒,26.652,58.550,,
456,08/31/21 上午02时10分57秒,26.652,58.550,,
457,08/31/21 上午02时11分57秒,26.652,58.584,,
458,08/31/21 上午02时12分57秒,26.652,58.601,,
459,08/31/21 上午02时13分57秒,26.652,58.617,,
460,08/31/21 上午02时14分57秒,26.652,58.601,,
461,08/31/21 上午02时15分57秒,26.652,58.617,,
462,08/31/21 上午02时16分57秒,26.652,58.634,,
463,08/31/21 上午02时17分57秒,26.652,58.634,,
464,08/31/21 上午02时18分57秒,26.652,58.634,,
465,08/31/21 上午02时19分57秒,26.652,58.651,,
466,08/31/21 上午02时20分57秒,26.676,58.645,,
467,08/31/21 上午02时21分57秒,26.652,58.668,,
468,08/31/21 上午02时22分57秒,26.676,58.662,,
469,08/31/21 上午02时23分57秒,26.652,58.668,,
470,08/31/21 上午02时24分57秒,26.652,58.651,,
471,08/31/21 上午02时25分57秒,26.652,58.651,,
472,08/31/21 上午02时26分57秒,26.652,58.668,,
473,08/31/21 上午02时27分57秒,26.652,58.685,,
474,08/31/21 上午02时28分57秒,26.652,58.702,,
475,08/31/21 上午02时29分57秒,26.652,58.736,,
476,08/31/21 上午02时30分57秒,26.652,58.753,,
477,08/31/21 上午02时31分57秒,26.652,58.770,,
478,08/31/21 上午02时32分57秒,26.676,58.764,,
479,08/31/21 上午02时33分57秒,26.676,58.781,,
480,08/31/21 上午02时34分57秒,26.676,58.781,,
481,08/31/21 上午02时35分57秒,26.652,58.804,,
482,08/31/21 上午02时36分57秒,26.676,58.798,,
483,08/31/21 上午02时37分57秒,26.676,58.832,,
484,08/31/21 上午02时38分57秒,26.676,58.867,,
485,08/31/21 上午02时39分57秒,26.676,58.867,,
486,08/31/21 上午02时40分57秒,26.676,58.867,,
487,08/31/21 上午02时41分57秒,26.676,58.867,,
488,08/31/21 上午02时42分57秒,26.676,58.867,,
489,08/31/21 上午02时43分57秒,26.676,58.867,,
490,08/31/21 上午02时44分57秒,26.676,58.884,,
